Id,SalePrice
2658,125171.49202111736
2718,174645.1548059918
2414,176565.8538151309
1989,114173.3680618424
625,168269.8165586684
333,93092.99174083956
1327,118977.66512153298
858,169210.76720685326
95,218496.67197248526
1568,155492.03280085512
2482,149745.86578560434
1364,138058.67586250976
2584,149514.45866625942
818,298751.68979608454
2673,134950.44959182292
2089,122709.56688943319
1297,140691.62367536314
790,122600.91145889275
2616,193302.71069392003
720,178544.98349141702
222,148923.60536374897
557,124613.6919937376
1148,195629.0605821889
2766,205356.22150887363
534,192429.87395004928
1452,118259.8908290863
630,134318.5784816239
2648,128744.32730844617
125,162754.9581849575
1904,87783.47032173537
1670,111107.73681875505
756,115408.22378019616
717,240835.25901415758
1032,155637.22330361977
852,210824.63149511814
1731,170409.88366422057
2639,102787.54285744391
2071,93681.84131761827
1267,124292.80829901807
1851,208240.7655392792
567,158640.46775735356
2439,216762.36020940356
1898,159845.50620762073
647,148696.28055452555
2256,188923.19990874082
979,95964.04088260047
1444,212492.62369071878
2485,114312.67350117117
157,130457.23450261913
88,121344.75529008359
2003,119230.30558754317
186,193607.58779106475
1425,262403.3269317895
2695,137643.62034315988
738,115224.01028824225
395,155019.07102424465
1353,162102.27768859267
1878,133474.04800890014
390,150695.3542644158
1456,229197.80792302825
1103,333273.05406184867
1387,143457.51874131337
2070,139712.6358681079
1199,165578.9546923861
2479,174486.87777674943
501,332425.43496393785
2362,111019.87428295612
1718,195015.00995414704
2188,98360.80197753012
1483,132364.52123946883
2557,114256.42265435681
437,350405.7412130404
2224,201654.09581237286
1628,165505.24169294722
397,134532.85566489957
587,206903.19550886564
971,145393.60537266918
2611,146375.27805061825
1887,107812.770297613
2399,362737.64558359794
2148,205072.48605586775
304,110909.0121698901
1997,122808.83285609446
2817,126584.49931262992
1431,201419.84366807342
427,421841.67558673583
263,119078.47129636072
598,165030.16978396103
2895,243971.2527458761
687,160116.35354879685
1822,143257.51390022784
2191,97327.0192864053
179,121158.49997944944
1009,200354.75964695774
2010,140463.3166841101
1991,128016.45857908018
1411,143557.27083485946
1721,231514.45934521593
1144,188949.74267349206
593,194046.08156454563
575,325376.6117567029
1249,167633.2723486591
1604,137897.88506032713
1064,534996.349644091
1923,144408.8289921917
1988,105189.28879236802
2325,165226.9782235939
114,200307.74584166333
2700,164936.76275891066
217,97646.60050950013
343,168778.0178719461
386,220377.71052477136
2005,113354.59339111298
2908,151001.41384565644
1814,205568.6466768235
2446,510912.2163412608
208,131576.06324242428
1679,121226.78583899699
