Id,SalePrice
2658,132807.53804479726
2718,176329.15733423084
2414,179254.11769121327
1989,113023.28402952477
625,168545.98665873148
333,91104.79901221767
1327,118297.44765687548
858,163326.9285876993
95,216565.4460074436
1568,158194.71981951967
2482,149151.998279443
1364,132961.39137903415
2584,150567.73872929066
818,288331.9138681218
2673,138923.48145573027
2089,116944.50866133906
1297,140775.2541313991
790,123965.87920234166
2616,196576.13707342
720,167168.43527451716
222,148460.87962563708
557,124823.24635846168
1148,194549.69268158078
2766,194747.11505338736
534,191418.6068848092
1452,118108.67907844484
630,139395.29793274216
2648,127298.22748497501
125,162439.79586402513
1904,86823.72955006547
1670,106447.69716729224
756,110540.83424302004
717,228850.23251863383
1032,154709.37029766105
852,210091.86140231788
1731,174198.26959080994
2639,96830.76601636596
2071,92279.34493048862
1267,120063.2680507712
1851,206478.34371552058
567,156207.2404947523
2439,218467.8305078447
1898,159170.27558248676
647,146374.55788295157
2256,191420.47260860913
979,95091.48347367905
1444,212303.40728410147
2485,117390.23016416468
157,131129.3850288596
88,122236.41718481295
2003,115080.78584851325
186,187195.3779073134
1425,264044.71842204034
2695,133604.33617809415
738,117253.50946041569
395,155497.3280706331
1353,163097.5036596842
1878,134302.58137066476
390,151743.0076775849
1456,230481.18444665335
1103,327731.7008237783
1387,141264.72314247303
2070,139971.97046949342
1199,166216.65975400992
2479,173131.45397495665
501,325507.6653979067
2362,110778.33997887373
1718,195502.81720164418
2188,105569.40925673023
1483,131081.80183340237
2557,113359.50191527605
437,356132.5652353
2224,203803.42203054763
1628,165633.04445094615
397,135868.11937104166
587,205586.44490359537
971,149472.03358050995
2611,146882.20234787837
1887,111619.85760648176
2399,363129.7361260373
2148,204544.4493831396
304,115963.87729229964
1997,123660.61538289674
2817,126308.48973233625
1431,197921.52171655
427,417354.3712126985
263,117401.99484576285
598,164892.33713142015
2895,249458.27809092775
687,160281.90458344482
1822,137900.98128745146
2191,97584.55450235121
179,117430.8915539924
1009,200525.13179727457
2010,139518.06831084564
1991,128622.98377079517
1411,143757.56394776888
1721,233292.02941785194
1144,187104.65680180676
593,195648.44403471984
575,328255.1042596679
1249,168006.93908522837
1604,135179.06761340983
1064,533432.8750702702
1923,146189.18799523078
1988,102230.58200868405
2325,166722.07971452922
114,194299.91103874892
2700,165947.25710220262
217,96208.87254475802
343,171905.70806941763
386,217513.98464766704
2005,112559.43859931454
2908,150495.37175317667
1814,211234.27360835858
2446,508695.82507240213
208,133659.92036423273
1679,116708.9169509951
822,337831.6677522063
6,187491.75573669188
1781,409858.28632776067
2397,290794.55595861934
2340,298750.58195359074
1618,171376.61550863832
2843,100308.30134428665
1061,370980.28812857345
2786,131334.551885359
1935,132259.44951176643
1341,117478.90678130463
521,283825.4279739298
2136,137288.9289087467
996,186313.86681991257
227,141388.28896565922
135,166974.5924274437
1167,166853.1905897297
294,252873.4853975363
1776,201663.4624764733
540,167988.2279097978
1717,195502.81720164418
2303,121536.5650468655
116,189178.78999781422
127,141226.2916025594
1371,139441.869632937
1014,163733.8447005693
1507,110953.26611142792
702,119502.47929241322
750,150960.35157746635
261,141452.79917544872
1559,64377.09860308841
577,245374.1616796162
2812,202656.54905036837
2080,152566.50880930573
1368,113515.59564339928
2376,131789.16508254968
659,101393.05446397327
1235,130243.7819712758
332,94655.81805042736
1917,128195.23301845789
2094,244282.0783050768
1460,284742.6239386853
1471,200073.83604602516
1509,128990.12016156316
1922,131006.53338375501
433,526354.1106966548
460,276079.0014783442
1116,249167.96273337305
1137,157634.37052223273
53,165512.0825317446
2354,263455.4351778962
1475,202945.07741123065
1761,661199.0358140673
842,143639.7818563059
2739,151513.965985829
2509,152973.12231343798
1007,207005.77697427012
2610,169305.72155327536
1952,115539.55438581109
2719,173238.67209609412
2921,89621.79582079686
1966,144514.07016635127
292,125124.98207958974
1204,190077.67970733903
1829,250918.4376454465
2419,187034.8639697656
391,156258.3382331878
798,114649.58125956543
481,186224.5298830755
193,202125.58642010204
555,131979.09401883185
899,95236.26232168637
2357,171043.3755991347
328,114924.53891609609
1356,105207.94461755082
