Id,SalePrice
2658,159160.51838447375
2718,162147.18005972463
2414,202207.8902851916
1989,124036.3459617036
625,179280.46394174863
333,106988.71378582116
1327,133654.68578182923
858,145126.20146482065
95,174998.14842383022
1568,161140.65671776963
2482,154055.57002356809
1364,133738.9055927103
2584,146721.3134371711
818,255907.16158037394
2673,168977.46833549725
2089,135581.41834730457
1297,152142.91836011285
790,114408.23909093734
2616,206099.15579391952
720,197995.38942350674
222,157122.8699488168
557,138108.62185899547
1148,191843.5510929987
2766,188499.15949489875
534,179793.9831829351
1452,127750.22401191128
630,123421.77353156084
2648,127716.69755329282
125,148332.97345380276
1904,104592.32332174906
1670,117930.31840122817
756,104398.01610248382
717,249967.26051416388
1032,171540.42151022644
852,205137.30693267647
1731,178286.8710088849
2639,147476.2283964671
2071,112153.40350374221
1267,131110.7200174453
1851,198350.78535446478
567,146592.38452686835
2439,215959.67074286682
1898,149606.9140168257
647,165794.34214245452
2256,243476.68106781182
979,122208.707321997
1444,215561.63862940873
2485,130213.55729728918
157,123335.52086964602
88,129267.57685743153
2003,124972.99247280476
186,197755.39402240282
1425,250535.16691387884
2695,137799.55280647174
738,106431.74407282527
395,159716.29309435282
1353,175668.97329886677
1878,150016.34682076098
390,171265.13316518013
1456,248404.9807630232
1103,330345.64367150574
1387,135199.48113938697
2070,161211.9848730902
1199,177713.44823342044
2479,168874.71614846363
501,298704.2424800677
2362,114729.2939453921
1718,211103.75406973483
2188,103876.71887974767
1483,151333.13044883363
2557,85123.83639044319
437,353550.8307159211
2224,224844.20660978806
1628,170995.35639134567
397,135819.98061397442
587,205665.49373686675
971,143924.69489901367
2611,143597.8220817913
1887,118267.84000819037
2399,342725.6143838989
2148,203325.77496070098
304,127734.48552262323
1997,145440.26674779016
2817,114879.02091976079
1431,195232.34812004387
427,349431.21837029024
263,126832.25744708913
598,173537.96711936212
2895,272758.4001483591
687,144865.4393757589
1822,145699.60177246254
2191,108065.10754605914
179,142282.97149516956
1009,224408.16479459638
2010,136628.58990293
1991,152392.92837284604
1411,153173.83591819846
1721,221778.31214602332
1144,187881.4753047487
593,209166.5239446683
575,290305.12795902335
1249,177680.65354720847
1604,134839.53597870455
1064,540135.3817975512
1923,164108.7135257391
1988,138264.9515906907
2325,171487.99504049227
114,210602.57062884638
2700,165561.43761164707
217,122687.24936673579
343,182714.36391689416
386,228144.16799505352
2005,137931.89587362038
2908,149964.7595402295
1814,233060.8297778059
2446,531513.4248536301
208,139487.17014917755
1679,118985.06778873621
822,318389.30900759355
6,192341.69198688757
1781,403119.6050094685
2397,260167.1136324517
2340,313264.29457413836
1618,175947.83717420284
2843,126414.90353933978
1061,362808.2406970458
2786,131578.56754584296
1935,142044.00076695904
1341,129157.92444886957
521,282537.2432088942
2136,140996.08752373722
996,202944.96555446865
227,144753.40118094918
135,167780.0002777684
1167,176299.62004008316
294,244616.5493206696
1776,199682.00614909845
540,181873.7394666128
1717,205004.2472583442
2303,138416.9561805868
116,189152.3108324316
127,142951.27343722526
1371,145771.19411519245
1014,184475.6564704138
1507,121136.51550064539
702,143192.08266101032
750,160890.84023728807
261,151911.31600969163
1559,106276.34219471109
577,226584.1003989565
2812,195866.33158159078
2080,147964.7433530172
1368,137878.3435689679
2376,138267.80855060584
659,131638.1048103437
1235,138403.1232672757
332,96094.84326612348
1917,146830.55060957215
2094,245229.32430881768
1460,256453.6579882686
1471,210468.49104767418
1509,126162.14449111518
1922,153058.20969364594
433,549446.2896228237
460,227415.12302874585
1116,250725.38550130255
1137,180589.1030164651
53,172409.74191499484
2354,272805.54887189507
1475,189344.89294064644
1761,661850.7472277207
842,148230.7549630643
2739,189009.12486320417
2509,147783.64810005695
1007,199446.43276323017
2610,182913.66064419397
1952,95683.02023918554
2719,158932.8259615989
2921,104594.89949473517
1966,138314.44922741817
292,104438.63946715533
1204,198962.9945955699
1829,271643.9969266623
2419,181699.40287656357
391,158857.1866559726
798,106079.70172549156
481,200764.39531742208
193,201006.90944856784
555,129117.80367055505
899,82371.09891791044
2357,185889.57097210994
328,135497.62106293513
1356,131277.4219866199
1154,113965.58032473616
1730,178112.58351822427
2249,147674.85111007653
1119,271533.3709043305
2856,126735.59920557035
1394,157502.44985375207
2587,126128.15021061862
61,323490.0246495932
2661,209092.2013032783
2711,140462.3333630587
1147,180597.22772887666
757,137617.55703352237
2623,95898.54644263943
2378,151127.21323116863
1413,135245.99161110626
1722,209844.6201693607
1112,225531.86796247223
1623,202012.04280386647
1201,189005.8506282043
1513,112043.74077421977
957,390869.16965207324
1171,264032.2479315511
1145,190331.65882296197
2726,264982.1277780686
703,172441.46649539054
760,126175.48395480719
1964,140543.32201054058
2512,182020.56668950882
159,170392.17306995922
1281,166482.15015383094
468,175459.68483348982
290,105684.83210235416
665,113881.59899314569
1463,269059.6004854521
1792,223270.61110677797
923,169640.10805672786
500,255177.17465103092
1408,176951.79915183625
331,109268.62519168567
170,127182.08674685203
2192,104358.33188304122
2571,298636.4622107231
2314,179629.83294606008
2647,113658.49906924073
422,435739.4757015499
2457,428953.4784885157
1838,179663.91129566624
2805,248452.30067307246
1645,159959.05153943718
1711,290426.18876171246
2825,247740.86673285093
322,349893.053357503
2103,260515.06826023234
342,125852.77854123799
600,128328.02619580342
488,191658.76063811826
1725,271537.7687015167
2246,298599.605391714
2847,148876.4208588102
806,241024.23562083475
530,228786.6285410562
963,220551.92001948593
2678,107924.63541866331
171,124025.88535259807
2401,430540.77458609286
805,221395.91059710877
2259,246514.51617219244
1748,177743.07659680498
1361,159410.53696182315
1677,128102.46524348497
1406,142540.38342137885
2322,233485.88646622974
688,157466.92264245445
143,140982.60378441733
804,201123.89204209196
1214,163445.69550315547
2828,148348.0950834334
1999,171950.51422662323
2467,187648.3979572744
2665,163178.4496803556
1538,374844.78885574825
398,124351.60449393844
2822,144834.99314254642
2157,149267.64768443967
1856,208278.1980209648
1269,104448.75393397533
2570,123984.79768026996
2320,239704.238873963
1517,137707.91363136593
2304,129688.21199453989
1312,113817.43770731188
2012,129288.67205223562
506,238912.733120507
2865,234335.87463346554
2367,113084.00648584477
554,86438.85105396439
238,134197.22310524856
1954,119095.2871879327
2488,134598.53190958584
2291,94579.57192041652
1969,114432.12387983612
2725,171879.75593491743
1482,151333.13044883363
2763,188402.1003189718
503,239122.44264675662
1584,268594.9981957108
1531,150743.05554377203
2210,162030.49606941108
459,300164.6444332589
556,140661.5498956421
1347,158701.4036394205
1290,98699.4829428921
1388,107659.26852002548
1571,289565.89800382796
2754,192494.65064351296
765,137896.4009338558
2494,137451.5144351599
2870,237273.18200405999
7,222387.55218096933
1114,257884.6993644898
2418,274463.0789515232
291,160010.07426098283
18,374670.9755302442
39,365162.05262103514
1001,267110.50677462015
2442,227350.13491910437
616,120844.83948303194
2680,110050.48878014208
1414,121144.84650436629
289,122887.63756368094
40,246499.7250939804
860,133400.77550172416
409,143653.09557449358
673,155805.32480300884
2427,174412.16589859684
2036,221495.51049503306
2564,144557.52835599403
642,126813.93071425793
1008,188578.51676743853
1908,130586.27192313244
2519,218785.10107500615
1369,114053.76313481733
2855,178929.78512718566
712,112528.06007962883
1943,139549.4552147918
1958,129153.10190274833
107,158072.76586770327
2295,198207.11787654422
704,121639.85704982188
676,132702.70876110683
259,179950.53469715492
93,288918.2504184509
106,241729.66490135025
2315,189127.05675295717
1050,119555.04209815618
1095,210117.63851098635
2709,156918.10253554807
758,159641.23552103224
1496,157562.5924932218
2370,128331.77648482384
2458,273560.1955135766
2733,131392.75951349395
161,258338.77511030406
726,157402.56752004943
845,203427.92162118462
947,247356.7853486287
2232,147102.9199264152
2563,161004.3915609041
2299,140070.49780872304
211,97210.1343795233
605,146281.70394651807
1478,193026.27473466127
2247,300203.5288292002
2274,254572.6370886843
2869,227376.7153880893
967,241127.73186121252
2656,149552.9976435293
667,207206.12421320644
1042,121904.81597175146
2023,161696.72585248091
2447,374129.02792711195
2055,132928.98210127268
2275,294026.49053977325
2204,169437.3093030628
1563,278091.3351129954
483,215758.692334447
796,134097.47241273278
1526,177457.39073575905
2042,143345.40984386046
442,322906.6285776461
1693,302591.3663308584
1468,218564.48806780242
1430,192408.2382539052
2605,144676.31836272002
1529,199472.89905992846
335,155666.19051780904
1287,149972.56881926302
31,110335.12680354329
1785,283595.7937746434
82,161788.16986538126
2620,128891.11959461187
252,190835.8939736887
721,83514.91860153762
2165,177088.06919775772
2316,192102.48280155344
775,136107.66469881294
1558,130785.89573078793
17,209254.38874412025
1022,223676.05839872893
925,136477.85672777906
438,269812.8042898629
1270,140905.38606948985
1272,127647.01955752788
215,115184.99205076504
266,219975.64586968458
2402,260378.74040657305
1250,132346.40752289194
1984,136628.91038529572
1279,139858.04667578745
377,257077.3219313306
1252,116225.34717858589
2156,271164.49241011235
499,300295.046237125
1374,138172.34728996168
2898,292310.40913725295
401,123973.75526828963
2721,172414.52088167958
2078,237137.27993291887
2589,130958.94860025312
1946,248700.28075636455
1334,124803.5186599745
2781,230056.45313812818
431,409462.3777070998
576,210537.4006568233
1474,215745.81864761963
2254,159057.52176111616
2155,294059.4359490739
885,99052.63480014297
643,135958.69643373578
1944,123547.97021560668
480,196138.30464470683
2845,114997.32490162863
2387,310837.5853937436
2407,191474.3247349173
2527,165485.8246556753
2514,144458.19057964048
629,159567.9397763166
80,205830.37975352138
1876,139974.93892263115
1546,145168.6711325879
2518,189980.08522759256
2347,169569.47022502145
783,241769.87730187725
1322,77136.91828387705
194,99001.18016016854
1770,288857.5875612708
2143,134790.0214130889
1229,205282.4339913884
511,297157.2187664667
46,213690.57254415675
1348,145247.71749172814
2465,187825.54309987256
387,226781.23273891013
873,217327.26583997053
1918,130523.74248710443
2764,244460.7010037504
2184,133281.3709944112
934,146612.48501905272
1920,140675.3204185369
2631,146927.24929778196
1768,600438.7345439052
2040,125114.98814888505
1749,215798.6815732412
834,257232.38813276356
1457,239096.02933080276
79,135011.49830740516
2302,131574.3223297536
1817,148026.4369630508
2755,234029.6075222115
359,178893.914291515
2059,119141.67657145823
2092,241802.2633836107
2516,223406.1765456396
150,122163.04789487924
1656,151031.9685467091
83,95926.11276883782
2411,184835.84258348736
795,98126.19280479007
2312,234145.22463556234
2917,114913.50371832002
1624,175603.40929148038
2215,312918.23184783314
1211,151348.57417266726
1485,153421.70184994172
1024,172920.63991903033
570,206223.27087704826
2874,143686.6688006498
700,123668.75826177339
2756,201190.3882661643
2022,206247.0210912766
583,239951.99747980107
2392,334938.58256709937
2424,195030.54367199415
212,113708.1949360953
736,139083.11948650412
1610,170617.54461608245
890,133410.24314280154
467,178644.59553598915
578,227247.0625051639
1747,192693.64485259593
